order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2016-12-21,28.6661,34.66,31.5815,28.8648,20579.0,29.0305,25.8334,37625980.0,28.7737,1311462976.0
601318.XSHG,2016-12-22,28.4921,34.74,31.6478,28.7075,17276.0,28.9311,25.8997,29500931.0,28.7986,1022385359.0
601318.XSHG,2016-12-23,28.4921,34.77,31.6809,28.7323,13785.0,28.7986,25.9162,30192121.0,28.7654,1045239275.0
601318.XSHG,2016-12-26,28.4507,34.73,31.6395,28.6164,19334.0,29.1216,25.8914,35131252.0,29.0885,1222688981.0
601318.XSHG,2016-12-27,28.9725,35.12,31.9957,28.9891,12864.0,29.2707,26.1813,21780273.0,29.2044,767053567.0
601318.XSHG,2016-12-28,28.9808,35.26,32.1282,29.1547,11849.0,29.2541,26.2807,38631869.0,29.2293,1356675449.0
601318.XSHG,2016-12-29,29.0139,35.29,32.153,29.1133,12358.0,29.2293,26.3055,29042037.0,29.0968,1021548130.0
601318.XSHG,2016-12-30,29.0802,35.13,32.0039,29.2127,14204.0,29.3618,26.1896,27076331.0,29.3452,955339321.0
601318.XSHG,2017-01-03,29.2541,35.43,32.2773,29.2707,22250.0,29.8256,26.4132,29697799.0,29.5523,1062134997.0
601318.XSHG,2017-01-04,29.4115,35.68,32.5092,29.5606,17486.0,29.6434,26.5954,25257405.0,29.5274,900817691.0
601318.XSHG,2017-01-05,29.5523,35.65,32.4843,29.5937,19231.0,29.7676,26.5788,28691033.0,29.5937,1027949508.0
601318.XSHG,2017-01-06,29.279,35.73,32.5506,29.5937,18283.0,29.7262,26.6368,36286227.0,29.3535,1290794307.0
601318.XSHG,2017-01-09,29.2127,35.44,32.2855,29.3784,16059.0,29.4446,26.4215,27061697.0,29.3369,958713466.0
601318.XSHG,2017-01-10,29.1547,35.42,32.269,29.3535,12228.0,29.3949,26.4049,20535090.0,29.1796,725447485.0
601318.XSHG,2017-01-11,29.0719,35.23,32.095,29.1961,13570.0,29.3452,26.2641,20996349.0,29.1796,740408787.0
601318.XSHG,2017-01-12,29.1133,35.23,32.095,29.2376,10790.0,29.3369,26.2641,18718703.0,29.163,660770328.0
601318.XSHG,2017-01-13,29.1464,35.21,32.0785,29.1796,20830.0,29.7345,26.2475,33073897.0,29.4529,1177624289.0
601318.XSHG,2017-01-16,29.163,35.56,32.4015,29.4529,41759.0,30.0492,26.5043,112917227.0,29.9747,4058898504.0
601318.XSHG,2017-01-17,29.7262,36.19,32.973,29.8753,23828.0,30.0989,26.9764,34949314.0,29.8008,1261227196.0
601318.XSHG,2017-01-18,29.867,35.98,32.7825,29.8753,20367.0,30.1818,26.819,26686911.0,29.9913,968675234.0
601318.XSHG,2017-01-19,29.7511,36.21,32.9896,29.925,14415.0,30.1238,26.993,19962834.0,29.8587,721764754.0
601318.XSHG,2017-01-20,29.8256,36.05,32.8488,29.8587,15037.0,30.0492,26.877,26033277.0,30.0327,940875013.0
601318.XSHG,2017-01-23,29.8505,36.26,33.0393,30.0327,18238.0,30.1652,27.0261,39800128.0,29.983,1440993193.0
601318.XSHG,2017-01-24,29.9002,36.2,32.9813,29.983,14063.0,30.0907,26.9847,26866560.0,29.9664,973085798.0
601318.XSHG,2017-01-25,29.8919,36.18,32.9647,29.983,16464.0,30.1901,26.9681,35892232.0,30.1735,1301946746.0
601318.XSHG,2017-01-26,30.1818,36.43,33.1884,30.1901,18609.0,30.4799,27.1586,27720542.0,30.2397,1014531003.0
